Player,Position,Age,Teams
Precious Achiuwa,PF,21,MIA
Jaylen Adams,PG,24,MIL
Steven Adams,C,27,NOP
Bam Adebayo,C,23,MIA
LaMarcus Aldridge,C,35,TOT
LaMarcus Aldridge,C,35,SAS
LaMarcus Aldridge,C,35,BRK
Ty-Shon Alexander,SG,22,PHO
Nickeil Alexander-Walker,SG,22,NOP
Grayson Allen,SG,25,MEM
Jarrett Allen,C,22,TOT
Jarrett Allen,C,22,BRK
Jarrett Allen,C,22,CLE
Al-Farouq Aminu,PF,30,TOT
Al-Farouq Aminu,PF,30,ORL
Al-Farouq Aminu,PF,30,CHI
Kyle Anderson,PF,27,MEM
Giannis Antetokounmpo,PF,26,MIL
Kostas Antetokounmpo,PF,23,LAL
Thanasis Antetokounmpo,SF,28,MIL
Carmelo Anthony,PF,36,POR
Cole Anthony,PG,20,ORL
OG Anunoby,SF,23,TOR
Ryan Arcidiacono,PG,26,CHI
Trevor Ariza,SF,35,MIA
D.J. Augustin,PG,33,TOT
D.J. Augustin,PG,33,MIL
D.J. Augustin,PG,33,HOU
Deni Avdija,SF,20,WAS
Deandre Ayton,C,22,PHO
Udoka Azubuike,C,21,UTA
Dwayne Bacon,SG,25,ORL
Marvin Bagley III,PF,21,SAC
LaMelo Ball,PG,19,CHO
Lonzo Ball,PG,23,NOP
Mo Bamba,C,22,ORL
Desmond Bane,SG,22,MEM
Harrison Barnes,PF,28,SAC
RJ Barrett,SG,20,NYK
Will Barton,SF,30,DEN
Keita Bates-Diop,SF,25,SAS
Nicolas Batum,SF,32,LAC
Aron Baynes,C,34,TOR
Kent Bazemore,SF,31,GSW
Darius Bazley,PF,20,OKC
Bradley Beal,SG,27,WAS
Malik Beasley,SG,24,MIN
Jordan Bell,C,26,TOT
Jordan Bell,C,26,WAS
Jordan Bell,C,26,GSW
DeAndre' Bembry,SF,26,TOR
Dāvis Bertāns,PF,28,WAS
Patrick Beverley,PG,32,LAC
Saddiq Bey,SF,21,DET
Tyler Bey,SF,22,DAL
Khem Birch,C,28,TOT
Khem Birch,C,28,ORL
Khem Birch,C,28,TOR
Goga Bitadze,C,21,IND
Bismack Biyombo,C,28,CHO
Nemanja Bjelica,PF,32,TOT
Nemanja Bjelica,PF,32,SAC
Nemanja Bjelica,PF,32,MIA
Eric Bledsoe,SG,31,NOP
Keljin Blevins,SF,25,POR
Bogdan Bogdanović,SG,28,ATL
Bojan Bogdanović,SF,31,UTA
Bol Bol,PF,21,DEN
Marques Bolden,C,22,CLE
Jordan Bone,PG,23,ORL
Isaac Bonga,SF,21,WAS
Devin Booker,SG,24,PHO
Chris Boucher,C,28,TOR
Brian Bowen,SF,22,IND
Avery Bradley,SG,30,TOT
Avery Bradley,SG,30,MIA
Avery Bradley,SG,30,HOU
Tony Bradley,C,23,TOT
Tony Bradley,C,23,PHI
Tony Bradley,C,23,OKC
Jarrell Brantley,PF,24,UTA
Ignas Brazdeikis,SF,22,TOT
Ignas Brazdeikis,SF,22,NYK
Ignas Brazdeikis,SF,22,PHI
Ignas Brazdeikis,SF,22,ORL
Mikal Bridges,SF,24,PHO
Miles Bridges,PF,22,CHO
Amida Brimah,C,26,IND
Oshae Brissett,SF,22,IND
Malcolm Brogdon,PG,28,IND
Armoni Brooks,SG,22,HOU
Dillon Brooks,SF,25,MEM
Bruce Brown,PG,24,BRK
Charlie Brown Jr.,SG,23,OKC
Jaylen Brown,SG,24,BOS
Moses Brown,C,21,OKC
Sterling Brown,SG,25,HOU
Troy Brown Jr.,SF,21,TOT
Troy Brown Jr.,SF,21,WAS
Troy Brown Jr.,SF,21,CHI
Jalen Brunson,PG,24,DAL
Elijah Bryant,SG,25,MIL
Thomas Bryant,C,23,WAS
